"Nama Kost","Jenis Kost","Fasilitas Kamar","Fasilitas Umum","Harga","rating Krebersihan","rating Kenyamanan","rating Keamanan","rating Harga","rating Fasilitas kamar","rating Fasislitas Umum","Total Rating","Jarak Ke kampus"
"Kost Apik Banuarto Cisitu Lama Tipe A Coblong Bandung MTB89B84","campur","kasur, meja, lemari, ventilasi, bantal","Listrik, KM.luar, ember mandi, Wifi, R.tamu, Penjaga kos, R.jemur, Dapur","Rp. 775.000/bulan","4.7","4.7","4.7","4.3","4.3","4.7","4.5","1.1 km ke Institut Teknologi Bandung"
"Kost Apik Kebon Bibit 21 Tipe E Taman Sari Bandung 2QE1E29T","putri","kasur, meja, lemari, kursi, banatal","Listrik, KM.luar, shower, Wifi, R.tamu, Mesin cuci, R.makan, R.jemur, parkir mobil, parkir motor, parkir sepeda","Rp.785.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","800 m ke Institut teknologi bandung"
"Kost Apik PUMA Ciwalk Tipe A Coblong Bandung S31ZR45L","campur","AC, kasur, meja, TV, Meja rias, KM dalam, wastafel, shower, air panas","Listrik, Wifi, R.tamu, Penjaga kos, TV, CCTV, parkir motor, parkir mobil, parkir sepeda","Rp. 2.825.000/bulan","5.0","5.0","5.0","5.0","4.0","4.0","4.6","804 m ke Institut Teknologi Bandung"
"Kost Febi Tipe A Lowokwaru Malang 374LA","Putra","Kasur, Meja, Lemari Baju, Kursi, Bantal, Jendela","Listrik, KM. Luar, Ember Mandi, Wifi, R.Cuci, R.Tamu, Penjaga Kos, R.Makan, R.Jemur, R.Santai, Dapur, Parkir Motor","Rp. 750.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","818 m Ke UB"
"Kost M Panjaitan Klojen Malang 796MP","Putri","Kasur, Meja, TV, Lemari Baju, Kursi, Jendela, KM. Dalam, Shower, Air Panas","Listri, Wifi, R.Cuci, Kulkas, Mesin Cuci, R.Makan, R.Jemur, Dapur, CCTV, Jemuran, Parkir Motor.","Rp. 900.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","569 m Ke UB"
"Kost Flambo House Lowokwaru Malang CQ230KH9","Putri","Kasur, Meja, TV, Kulkas, Lemari Baju, Ventilasi, Bantal, Guling, Jendela, Kursi, KM.Dalam, Shower, Air Panas.","Listrik, Wifi, Kulkas, Penjaga Kos, R.Jemur, Dapur, Parkir Motor","Rp. 1000.000/bulan","5.0","4.0","5.0","4.0","4.0","4.0","4.4","1.5 km Ke UB"
"Kost Griya Manggar Tipe B Lowokwaru Malang 750ZE","Putra","Kasur, Lemari Baju, Ventilasi, Kursi, Bantal","Listrik, Wifi, R.Cuci, R.Jemur, Mushol, Dapur, KM. Luar, Bak Mandi, Parkir Motor","Rp. 500.000/bulan","1.3","1.6","2.2","2.5","1.3","1.6","1.8","1.7 km Ke UM"
"Kost Griya Manggar Tipe C Lowokwaru Malang 541DD","Putra","Kasur, Lemari Baju, Ventilasi, Kursi, Bantal, Guling, ","Listrik, KM. Luar, Bak Mandi, Wifi, R.Cuci, R.Jemur, Mushola, Dapur, KM. Luar, Pengurus Kos, Jemuran, CCTV, Parkir Motor","Rp. 525.000/bulan","1.9","1.9","2.5","1.9","1.3","1.3","1.8","1.7 km Ke UM"
"Kost Argopuro Klojen Malang S445UB8D","Putra","Kasur,  AC, Meja, Dispenser, TV, Meja Rias, Lemari Baju, Kulkas, Kursi, Cleaning Service, KM.Dalam, Shower, Air Panas","Wifi, R.Cuci, Kulkas, Mesin Cuci, Laundry, R. Jemur, Dapur, TV, Taman, Parkir Mobil dan Motor","Rp. 1.850.000","1.0","2.0","5.0","1.0","3.0","3.0","2.5",""
"Kost Griya Manggar 1 Lowokwaru Malang DQD56J69","Putra","Kasur, Meja, Lemari Baju, Ventilasi, Bantal, Jendela, ","Listrik, KM. Luar, Bak Mandi, Wifi, R.Cuci, R.Jemur, Dapur, CCTV, Jemuran, KM. Luar, Pengurus Kos, Parkir Motor","Rp. 400.000/bulan","1.0","2.0","5.0","1.0","2.0","1.0","2.0","1.7 km Ke UM"
"Kost Dekat UB Akordion Lowokwaru Malang 932KP","Putra","Kasur, Meja, Lemari Baju, Ventilasi, Kursi","Wifi, R.Cuci, R.Tamu, Mesin Cuci, Penjaga Kos, KM. Luar, Parkir Motor","Rp. 550.000/bulan","4.0","4.0","5.0","4.0","3.0","3.0","3.9","1.3 km Ke UNISMA"
"Kost Omah Lantip Tipe A Dau Malang 127854MO","Putra","Kasur, Meja, Lemari Baju, Ventilasi, Kursi","Listrik, KM. Luar, Shower, Wifi, Kulkas, R.Cuci, R.Makan, R.Jemur, Parkir Motor","Rp. 650.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","4.1 km Ke UMM"
"Kost Landungsari Dau Malang 920HD","Putra","Kasur, Meja, Lemari Baju, Ventilasi, Kursi","Listrik, KM. Luar, Wastafel, Ember Mandi, Wifi, R.Cuci, R.Tamu, R.Jemur, R.Santai, Parkir Motor","Rp. 750.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","4.3 km Ke UMM"
"Kost Hidden I Tipe Single Sukun Malang H152SE9F","Putra","Kasur, Meja, Lemari Baju, Bantal, Jendela","Listrik, KM.Luar, Wifi, Kulkas, Dapur, KM. Luar, Rice Cooker, Parkir Mobil dan Motor","Rp. 550.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","1.6 km Ke  UB"
"Kost Palasari Kav 6 Sukun Malang 158269PK","Putra","Kasur, Meja, Lemari Baju, Cleaning Service, TV Kabel","Listrik, KM. Luar, Shower, Wifi, R.Tamu, Penjaga Kos, R.Jemur, Dapur, TV, Taman, Balcon, Parkir Mobil dan Motor","Rp. 650.000/bulan","5.0","5.0","3.8","3.8","3.8","3.8","4.1","943 m Ke UMM"
"Kost Bantaran IIID Lowokwaru Malang 798BI","Putra","Kasur, Lemari Baju, Kipas Angin","Listrik, KM.Luar, Bak Mandi, Wifi, R.Cuci, R.Jemur, Dapur, KM. Luar, Parkir Mobil dan Motor","Rp. 550.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","2.2 km Ke POLINEMA"
"Kost Citihome Tipe A Lowokwaru Malang 628CI","Putra","Kasur, Meja, Lemari Baju, Kursi, Kipas Angin","Listrik, KM. Luar, Shower, Wifi, R.Cuci, R.Tamu, Mesin Cuci, Penjaga Kos, Parkir Motor","Rp. 650.000/bulan","3.8","3.8","4.6","5.0","5.0","4.6","4.5","2.5 km Ke POLINEMA"
"Kost Eleven A Klojen Malang 8B8ZZ6B6","Putra","Kasur, Meja, Dispenser, Lemari, Baju, Kulkas","Listrik, KM.Luar, Wastafel, Ember Mandi, Wifi, Kulkas, R.Tamu, Penjaga Kos, Laundry, Parkir Motor","Rp. 1.100.000/bulan","5.0","5.0","5.0","5.0","5.0","4.6","4.9","996 m Ke UNMER"
"Kost Pekalongan Satu Tipe A Klojen Malang M87DH3F7","Putra","Kasur, Meja, Lemari Baju, Ventilasi, Bantal","Listrik, KM. Luar, Shower, Wifi, R.Cuci, Penjaga Kost, R. Jemur, Dapur, Parkir Motor","Rp. 750.000/bulan","5.0","4.8","5.0","4.8","5.0","4.8","4.9","637 m Ke UM"
"Kost Pak Sutadi Tipe A Klojen Malang G11M5P3H","Putra","Kasur, Meja, Lemari Baju, Ventilasi, Bantal","Listrik, KM. Luar, Ember Mandi, R. Jemur, Jemuran, KM  Luar, Pengurus Kos, Parkir Motor","Rp. 375.000/bulan","4.0","5.0","3.0","5.0","5.0","5.0","4.5",""
"Kost Mbah Uti Tipe A Klojen Malang J6YJ1C33","Putra","Kasur, Meja, Lemari Baju, Ventilasi, Jendela","Listrik, KM. Luar, Bak Mandi, Wifi, Kulkas, Dapur, Dispenser, Jemuran, Parkir Motor","Rp. 650.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0",""
"Kost Latansa Tipe B Klojen Malang 763158LB","Putri","Kasur, Meja, Lemari Baju, Ventilasi, Kursi","Listrik, KM. Luar, Bak Mandi, Wifi, R. Cuci, Kulkas, R. Tamu, Penjaga Kos, Parkir Mobil dan Motor.","Rp. 500.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","610 m Ke UNMER"
"Kost Azzahra Klojen Malang 793426AK","Putri","Kasur, Meja, Meja Rias, Lemari Baju, Kursi","KM. Luar, Ember Mandi, Wifi, R.Cuci, R. Tamu, R. Jemur, R. Santai, Parkir Mobil dan Motor","Rp. 500.000/bulan","2.0","4.0","4.0","5.0","4.0","4.0","3.0",""
"Kost Bendungan Sutami Lowokwaru Malang 535AN","Putri","Kasur, Lemari Baju, Ventilasi, Jendela","Listrik, KM. Luar, Wifi, R.Jemur, CCTV, Parkir Motor","Rp. 600.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","437 m Ke UM"
"Kost Griyasanta C 245 Tipe A Lowokwaru Malang 795CH","Putri","Kasur, Meja, Lemari Baju, Kursi","Listrik, KM.Luar, Shower, Wifi, R. Cuci, R. Jemur, Dapur, KM. Luar","Rp. 600.000/bulan","5.0","4.0","5.0","5.0","5.0","4.0","4.6","1.1 km Ke POLINEMA"
"Kost Taman Landungsari Indah AA Type A Dau Malang 163HH","Putri","Kasur, Meja, Lemari Baju, Ventilasi, Bantal","Listrik, KM. Luar, Wastafel, Shower, Wifi, R. Cuci, Kulkas, R. Tamu, Penjaga Kos, Parkir Mobil dan Motor","Rp. 550.000/bulan","4.6","4.2","4.6","4.2","4.2","4.2","4.3","4.3 km Ke UMM"
"Kost Apik 251 Raya Candi Tipe B Sukun Malang 79Z7ER5F","Putri","Kasur, Lemari Baju, Ventilasi, Bantal, Cermin","Listrik, KM.Luar, Ember Mandi, Wifi, R. Tamu, Penjaga kos, Dapur, Parkir Mobil dan Motor","Rp. 802.000/bulan","4.5","4.5","4.5","4.5","4.5","4.5","4.5","1.2 km Ke UMM"
"Kost Apik Prasanjaya Tipe A Lowokwaru Malang S9MT44K1","Putri","Kasur, Meja, Lemari Baju, Ventilasi,Kursi","Listrik, KM. Luar, Bak Mandi, Wifi, Kulkas, Penjaga Kos, R.Makan, R.Jemur, Parkir Motor","Rp. 913.000/bulan","5.0","5.0","5.0","4.7","5.0","5.0","5.0","694 UIN Malang"
"Kost Apik Ulfah MT Haryono Tipe A Lowokwaru Malang 474RPH3L","Putri","Kasur, Meja, Lemari Baju, Bantal, Cermin","Listrik, KM.Luar, Wifi, R.Jemur, Jemuran, Parkir Motor","Rp. 813.750/bulan","5.0","5.0","5.0","4.9","5.0","4.8","5.0","751 m Ke POLINEMA"
"Kost House Of California Lowokwaru Malang 154678HO","Putri","Kasur, Meja, Dispenser, Meja Rias, Lemari Baju","Listrik, KM. Luar, Wastafel, Shower, Air Panas, Wifi, R.Cuci, Kulkas, R. Tamu, Penjaga Kos, Parkir Mobil dan Motor","Rp. 1000.000/bulan","5.0","3.8","3.8","3.8","4.4","5.0","4.3","561 m Ke UMM"
"Kost Griya Prima Tipe A Lowokwaru Malang PK19T0B0","Putra","Kasur, Meja, Lemari Baju, Ventilasi, Cermin","Listrik, KM. Luar, Shower, Wifi, R.Cuci, Penjaga Kost, R. Jemur, Dapur, Parkir Motor","Rp. 850.000/bulan","5.0","4.7","5.0","5.0","4.7","5.0","4.9","450 m Ke UIN Malang"
"Kost Kuning Lowokwaru Malang 298175KH","Putri","Kasur, Meja, Lemari Baju, Kursi, KM. Dalam, Ember Mandi","Listrik, Wifi, Kulkas, R.Tamu, Penjaga Kos, R.Jemur, Parkir Mobil dan Motor","Rp. 800.000/bulan","4.1","3.4","3.6","4.6","4.8","4.1","4.1","736 m Ke UNISMA"
"Kost Muslim Pak Munawar Lowokwaru Malang RAG6Q588","Putra","Kasur, Meja, Lemari Baju, Ventilasi, Jendela","Listrik, KM. Luar, Wifi, R.Jemur, Dapur, Balcon CCTV, Parkir Motor","Rp. 600.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","199 m Ke UIN Malang"
"Kost A5 Tipe A Lowokwaru Malang 891742AK","Putra","Kasur, Meja, Lemari Baju, Bantal, Jendela","Listrik, KM. Luar, Wifi, Penjaga Kos, CCTV, KM.Luar, R. Keluarga","Rp. 950.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","258 m Ke POLINEMA"
"Kost Biru Sigura Gura Sukun Malang EPA40K01","Putra","AC, Kasur, Meja, TV, Lemari Baju, KM. Dalam, Shower, Air Panas","Wifi, Mushola, Dapur, CCTV, Jemuran","Rp. 1.400.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0",""
"Kost Alma Tipe A Lowokwaru Malang 857AL","Putri","Kasur, Meja, Lemari Baju, Kursi","Listrik, KM. Luar, Wastafel, Ember Mandi, Wifi, R. Cuci, R. Tamu, R. Jemur, R. Santai, Parkir Motor","Rp. 550.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","618 m Ke UNISMA"
"Kost D Lowokwaru Malang 5FBX937C","Putri","Kasur, Meja, Lemari Baju, Ventilasi, Bantal.","Listrik, KM. Luar, Bak Mandi, Wastafel, Wifi, Kulkas, Penjaga Kos, R. Jemur, Dapur, Parkir Motor","Rp. 750.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","1.7 km Ke UIN Malang"
"Kost Keramik Anang Tipe B Lowokwaru Malang 598327PM","Putri","Kasur, Meja, Lemari Baju, Kursi, Cleaning Service","Listrik, KM. Luar, Bak Mandi, Wifi, R. Cuci, Kulkas, R. Tamu, R. Jemur, Parkir Motor","Rp. 575.000/bulan","4.0","4.5","4.5","5.0","4.5","4.5","4.5","1.2 km Ke UB"
"Kost Sengguruh 14 Tipe B Lowokwaru Malang R8TR229Y","Putra","Kasur, Meja, Lemari Baju, Ventilasi, Bantal","Listrik, KM. Luar, Bak Mandi, Wifi, R. Cuci, Penjaga Kos, R. Jemur, KM. Luar, Parkir Motor","Rp. 600.000/bulan","5.0","4.0","5.0","4.0","4.0","4.0","4.4","606 m Ke UMM"
"Kost Muslimah 869 Tipe A Lowokwaru Malang K93J9LS7","Putri","Kasur, Meja, Kulkas, Bantal, Guling","Listrik, KM. Luar, Ember Mandi, Wifi, Kulkas, R.Jemur, R.Santai, Dapur, Parkir Motor","Rp. 670.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","711 m Ke UNISMA"
"Kost Sengguruh 14 Tipe A Lowokwaru Malang GQ3756QB","Putra","Kasur, Meja, Lemari Baju, Ventilasi, Bantal","Listrik, KM. Luar, Ember Mandi, Wifi, R. Cuci, Penjaga Kos, R. Jemur, Parkir Motor","Rp. 650.000/bulan","4.5","4.0","5.0","4.0","4.0","4.5","4.4","606 m Ke UMM"
"Kost Putra JoyoBrother Malang 70BBV48H","Putra","Kasur, Meja, Lemari Baju, Kursi","Listrik, KM. Luar, Bak Mandi, R. Jemur, Parkir Motor","Rp. 800.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","1.2 km Ke UNISMA"
"Kost Senggani 39 Lowokwaru Malang 0K0H4VB9","Putra","Kasur, Meja, Lemari Baju","Listrik, KM. Luar, Bak Mandi, Wifi, R. Cuci, R. Jemur, Dapur, Balcon, Parkir Motor","Rp. 800.000/bulan","4.0","5.0","4.0","4.0","4.0","4.0","4.1","239 m Ke POLINEMA"
"Kost Chus Nur Syah Tipe Ekonomi Lowokwaru Malang 7FA62DA9","Putri","Kasur, Meja, Lemari Baju, Kursi, Bantal","Listrik, KM. Luar, Shower, Wifi, R. Jemur, R. Santai, Dapur, TV","Rp. 350.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","1.2 km Ke UIN Malang"
"Kost Puri Gajayana Lowokwaru Malang 146839PG","Putri","Kasur, Meja, Lemari Baju, Ventilasi, Kursi, KM. Dalam, Bak Mandi","Listrik, Wifi, R.Tamu, R.Jemur, Dapur, Parkir Motor","Rp. 900.000/bulan","3.0","3.0","3.0","4.0","4.0","4.0","3.5","998 m Ke POLINEMA"
"Kost 254C Lowokwaru Malang 796158KO","Putra ","Kasur, Meja, Lemari Baju, Ventilasi, Bantal","Listrik, KM. Luar, Shower, Wastafel, Wifi, R. Cuci, R. Tamu, Mushola, R. Jemur","Rp. 725.000/bulan","5.0","5.0","5.0","4.8","4.6","4.6","4.9","385 m Ke UB"
"Kost Kembang Kertas 16 Lowokwaru Malang 453126KK","Putri","Kasur, Meja, Lemari Baju, Ventilasi, Bantal, Cermin, Guling, Jendela, Kursi, KM. Dalam, Shower","Listrik, Wifi, Kulkas, Penjaga Kos, R. Tamu, R. Jemur, R. Santai, Dapur, Dispenser, Balcon, Jemuran, Parkir Motor","Rp. 1.100.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","489 m Ke POLINEMA"
"Kost Pondok Kopi Estate 28 Tipe C Lowokwaru Malang 474RQ","Putri","Kasur, Meja, Lemari Baju, Kipas Angin","Listrik, KM. Luar, Ember Mandi, Wifi, Kulkas, Penjaga Kos, Laundry, R. Santai, Parkir Motor","Rp. 1.000.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","784 m Ke POLINEMA"
"Kost Griya Ar Lowokwaru Malang 183942GA","Putra","Kasur, Meja, Meja Rias, Lemari Baju, Kursi, KM. Dalam, Shower","Listrik, Wifi, R. CUCI, Kulkas, R. Tamu, Mesin Cuci, Parkir Motor","Rp. 1.000.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","494 m Ke POLINEMA"
"Kost Putri Griya Shanta Lowokwaru Malang 813PG","Putri","Kasur, Meja, Meja Rias, Lemari Baju, Ventilasi","Listrik, KM. Luar, Shower, Wifi, R. Cuci, Kulkas, R. Tamu, Penjaga Kos, Parkir Motor","Rp. 725.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","1.2 km Ke POLINEMA "
"Kost Anisa Lowokwaru Malang 5K9A6J4L","Putri","Kasur, Meja, Lemari Baju, Kursi"," KM. Luar, Ember Mandi","Rp. 550.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","498 m Ke POLINEMA"
"Kost Aza Moslem Lowokwaru Malang 9U9K8MY5","Putri","Kasur, Meja, Lemari Baju, KM. Dalam, Shower","Listrik, Wifi, R. Cuci, Kulkas, R. Tamu, R. Jemur, Parkir Motor","Rp. 1.000.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","695 m Ke POLINEMA"
"Kost Apik Lusya Cihampelas Walk Tipe D Sukajadi Bandung 4BT24CT3","Putri","Kasur, Ventilasi, Bantal, Jendela, KM. Dalam, Shower","Wifi, R. Tamu, Penjaga Kos, R. Jemur, Dapur, Parkir Motor","Rp. 927.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","964 m Ke ITB"
"Kost Singgahsini Widuri Tipe A Coblong Bandung ZMM27F03","Putri","Kasur, Meja, Lemari Baju, Ventilasi, Kursi, KM. Dalam, Shower, Wastafel","Wifi, Kuklas, R. Tamu, Penjaga Kos, R. Jemur, Parkir Motor","Rp. 1.051.000/bulan","4.8","4.8","4.9","4.8","4.8","4.8","4.8","768 m Ke UNPAD Dipatiukur"
"Kost Apik Kebon Bibit 21 Tipe D Taman Sari Bandung 54BR0GF7","Putri","Kasur, Meja, Lemari Baju, Kursi, Bantal","Listrik, KM. Luar, Shower, Wifi, R. Tamu, Mesin Cuci, R. Makan, R. Jemur","Rp. 842.000/bulan","4.2","4.8","4.6","4.8","4.6","4.6","4.6","800 m Ke ITB"
"Kost Apik Setiabudi Damar Home Tipe C Bandung 153689AI","Putra","Kasur, Meja, Lemari Baju, Bantal, Jendela","KM. Luar, Shower, Wifi, Penjaga Kos, Dapur, Parkita Motor","Rp. 1.072.000/bulan","4.9","4.8","4.9","4.9","4.9","4.9","4.9","1.7 km Ke ITB"
"Kost Apik Setiabudi Damar Home Tipe B Bandung 153689AP","Putra","Kasur, Meja, Lemari Baju, Bantal, Jendela","KM. Luar, Shower, Wifi, Penjaga Kos, Dapur, Parkita Motor","Rp. 1.025.000/bulan","4.7","4.7","4.8","4.5","4.7","4.4","4.6","1.7 km Ke ITB"
"Kost Apik Teduh Sukaluyu Tipe B Cibeunying Kaler Bandung 554P9UMG","Putra","Kasur, Meja, Lemari Baju, Bantal, Jendela","Listrik, KM. Luar, Ember Mandi, Wifi, R. Jemur, Dapur, Parkir Motor","Rp. 832.500/bulan","4.7","4.8","4.9","4.7","4.4","4.4","4.6","912 m Ke ITB"
"Kost Apik Setiabudi Damar Home Tipe A Bandung 153689AS","Putra","Kasur, Meja, Lemari Baju, Bantal","KM. Luar, Wifi, Penjaga Kos, Dapur, Parkir Motor","Rp. 835.000/bulan","4.3","4.3","4.3","4.0","4.3","4.3","4.3","1.7 km Ke ITB"
"Kost Singgahsini Sangkuriang 19 Tipe C Dago Bandung 379512AS","Putra","Kasur, Meja, Lemari Baju, Kursi, Bantal, KM. Dalam, Shower, Air Panas","Listrik, Wifi, R.Tamu, Dapur, Dispenser, KM. Luar, Parkir Mobil dan Motor","Rp. 1.592.00/bulan","5.0","5.0","5.0","4.5","4.7","4.7","4.8","957 m Ke Univ. Katolik Parahyangan"
"Kost Singgahsini Sangkuriang 19 Tipe A Dago Bandung 389715AS","Putra","Kasur, Meja, Lemari Baju, Kursi, Bantal","Listrik, KM. Luar, Shower, Air Panas, Wifi, R. Tamu, Dapur, Dispenser, Parkir Mobil dan Motor","Rp. 1.450.000/bulan ","4.8","4.8","4.9","4.3","4.6","4.7","4.6","957 m Ke Univ. Katolik Parahyangan"
"Kost Apik Pondok Paskal Tipe A Cicendo Bandung VZ57ML16","Campur","Kasur, Lemari Baju, Ventilasi, Bantal, Jendela","Listrik, KM. Luar, Ember Mandi, Penjaga Kos, R. Jemur, Dapur, KM. Luar, Parkir Motor","Rp. 804.000/bulan","4.6","4.6","4.6","4.4","4.6","4.5","4.6","1.2 km Univ. Islam Bandung"
"Kost Apik Ciumbuleuit 1 Tipe A Cidadap Bandung HQK9198V","Campur","Kasur, Meja, Lemari Baju, Bantal, Guling","Listrik, KM. Luar, Bak Mandi, Wifi, Parkir Motor","Rp. 690.000/bulan","4.9","5.0","5.0","4.9","5.0","4.9","4.9","1.6 km Ke ITB"
"Kost Apik Lin Tubagus Ismail Tipe A Coblong Bandung 1M31XCZ4","Putri","Kasur, Meja, Lemari Baju, Bantal, Guling","Listrik, KM. Luar, Ember Mandi, Wifi, Penjaga Kos, R. Jemeur, Dapur, CCTV, Parkir Motor","Rp. 927.000/bulan","4.5","4.7","4.8","4.5","4.8","4.1","4.6","875 m Ke ITB"
"Kost Apik Banuarto Cisitu Lama Tipe A Coblong Bandung MTB89B84","Campur ","Kasur, Meja, Lemari Baju, Ventilasi, Bantal","Listrik, KM. Luar, Ember Mandi, Wifi, R. Tamu, Penjaga Kos, R. Jemur, Dapur, Parkir Motor","Rp. 775.500/bulan","4.7","4.7","4.7","4.3","4.3","4.7","4.5","1.1 km Ke ITB"
"Kost Apik Djuanda 197B Dago Tipe B Coblong Bandung TA5M557D","Putra","Kasur, Meja, Lemari Baju, Bantal, Cermin, KM. Dalam, Shower","Listrik, Wifi, Kulkas, R. Tamu, R. Jemur, KM. Luar, Parkir Motor","Rp. 1.375.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","1.1 km Ke ITB"
"Kost Apik Kebon Bibit 21 Tipe E Taman Sari Bandung 2QE1E29T","Putri","Kasur, Meja, Lemari Baju, Kursi, Bantal","LM. Luar, Shower, Wif, R. Tamu, Mesin Cuci, R. Makan, R. Jemur, Parkir Mobil dan Motor","Rp. 785.0000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","800 m Ke ITB"
"Kost Singgahsini Widuri Tipe B Coblong Bandung 683AX5KU","Putri","Kasur, Meja, Lemari Baju, Ventilasi, Kursi","KM. Luar, Shower, Wifi, Kulkas, R. Tamu, Penjaga Kos, R. Jemur, Parkir Motor","Rp. 835.000/bulan","5.0","5.0","5.0","4.8","5.0","5.0","5.0","764 m Ke UNPAD"
"Kost Singgahsini Sadang Green Tipe C Coblong Bandung 3NPZ51T5","Campur","Kasur, Meja, Lemari Baju, Kursi, KM. Dalam, Shower, Air Panas","Wifi, R. Jemur, Dapur, CCTV, Parkir Mobil dan Motor","Rp. 1.375.000/bulan","5.0","5.0","4.8","4.8","5.0","4.8","4.9","872 m Ke UNPAD"
"Kost Teh Lia Tipe A Coblong Bandung 623TL","Putra","Kasur, Lemari Baju, Bantal, Cermin","Listrik, KM. Luar, Ember Mandi, Penjaga Kos, R. Jemur, Mushola, Dapur, Parkir Motor","Rp. 725.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0",""
"Kost Pondok Bunga Tipe C Cibeunying Kaler Bandung 2P7TAR23","Putri","Kasur, Lemari Baju, Ventilasi, Jendela","Listrik, KM. Luar, Shower, Wifi, Penjaga Kos, R. Tamu, Mushola, R. Makan, Parkir Motor","Rp. 650.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","1.2 km Ke UNPAD"
"Kost Rusyana Tipe A Coblong Bandung","Putra","Kasur, Meja, Lemari Baju, Kursi","Listrik, KM. Luar, Wifi, Dapur, Parkir Mobil","Rp. 850.000/bulan","4.4","5.0","5.0","3.8","5.0","5.0","4.8","773 m Ke Univ. Katolik Parahtangan"
"Kost 35 Coblong Bandung ZGF684L4","Campur","Kasur, Meja, Lemari Baju, Bantal, Cermin","Listrik, KM. Luar, Wifi, Jemuran, Balcon, Parkir Motor","Rp. 700.000/bulan","5.0","5.0","5.0","5.0","4.0","5.0","4.9","584 m Ke UNPAD"
"Kost Ela 21 Tipe C Coblong Bandung 5EA72N7M","Putra","Kasur, Lemari Baju, Bantal, Jendela, Guling","KM. Luar, Ember Mandi, R. Jemur, Jemuran, KM. Luar","Rp. 650.000/bulan","5.0","5.0","5.0","4.0","5.0","5.0","4.9","480 m Ke ITB"
"Kost Tirda Tipe A Coblong Bandung 586312TC","Putri","Kasur, Meja, Lemari Baju, Ventilasi, Bantal","Listrik, KM. Luar, Shower, Wifi, Kulkas, R. Cuci, Laundry, Penjaga Kos, Parkir Motor","Rp. 720.000/bulan","4.5","4.5","4.6","4.6","4.5","4.5","4.5","318 m Ke UNPAD"
"Kost Nangkasuni 47F Pondok Kanz Putra Coblong Bandung 521KC","Putra","Kasur, Meja, Lemari Baju, Ventilasi, Kursi","Listrik, KM. Luar, Shower, Wifi, R. Cuci, Kulkas, R. Tamu, Penjaga Ko, Parkir Motor","Rp. 915.000/bulan","5.0","4.0","5.0","4.0","4.0","3.3","4.3","1.0 km Ke ITB"
"Kost River Side Tipe A Coblong Bandung 136RS","Putra","Kasur, Meja, Lemari Baju, Ventilasi, Kursi","Listrik, KM. Luar, Shower, Wifi, R.Cuci, Kulkas, R. Tamu, Penjaga Kos, Parkir Motor","Rp. 830.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","1.3 km Ke ITB"
"Kost Bagusrangin Tipe A Coblong Bandung 854BB","Putri","Kasur, Meja, Lemari Baju, Ventilasi, Cermin","Listrik, KM. Luar, Bak Mandi, Wifi, R. Cuci, Kulkas, Penjaga Kos, R. Makan","Rp. 900.000/bulan","5.0","4.5","4.8","5.0","5.0","4.8","4.9","458 m Ke UNPAD"
"Kost Green House 78 Tipe B Coblong Bandung 873965GR","Putra","Kasur, Meja, Lemari Baju, Ventilasi, Bantal, KM. Dalam, Ember Mandi","Listrik, Wifi, KM. Luar, Jemuran, Pengurus Kos, Parkir Motor","Rp. 900.000/bulan","5.0","5.0","4.7","3.8","4.5","4.4","4.6","619 m Ke ITB"
